,activity,borrower_genders,country,country_code,currency_policy,distribution_model,lender_count,loan_amount,original_language,repayment_interval,sector,status,term_in_months,rMPI
8646,Fruits & Vegetables,female,Kenya,KE,shared,field_partner,7,175,English,monthly,Food,funded,11,0.223
8647,Mobile Phones,male,Togo,TG,shared,field_partner,16,425,French,monthly,Retail,funded,14,0.067
8648,Decorations Sales,female,El Salvador,SV,not shared,field_partner,36,1000,Spanish,monthly,Retail,funded,16,0.201
8649,Animal Sales,female,Peru,PE,shared,field_partner,6,175,Spanish,monthly,Agriculture,funded,1 Year,0.038
8650,Farming,male,Tajikistan,TJ,not shared,field_partner,16,450,English,monthly,Agriculture,funded,14,0.033
8651,General Store,female,Uganda,UG,shared,field_partner,43,1100,English,monthly,Retail,funded,14,0.417
8652,Farming,male,Philippines,PH,shared,field_partner,18,525,English,bullet,Agriculture,funded,7,0.039
8653,Personal Products Sales,female,Philippines,PH,shared,field_partner,23,575,English,irregular,Retail,funded,8,0.029
8654,General Store,female,Philippines,PH,shared,field_partner,6,400,English,irregular,Retail,funded,7,0.039
8655,General Store,female,Timor-Leste,TL,not shared,field_partner,18,800,English,monthly,Retail,funded,10,0.406
8656,Retail,female,Pakistan,PK,shared,field_partner,15,675,English,monthly,Retail,funded,14,0.039
8657,Plastics Sales,female,Sierra Leone,SL,shared,field_partner,38,1175,English,monthly,Retail,not_funded,1 Year,0.319
8658,Tailoring,group,Afghanistan,AF,not shared,field_partner,11,675,English,monthly,Services,funded,10,0.117
8659,Retail,female,Lebanon,LB,not shared,field_partner,22,1500,English,monthly,Retail,funded,17,0.003
8660,Home Appliances,group,Cambodia,KH,shared,field_partner,3,100,English,monthly,Personal Use,funded,8,0.121
8661,Tailoring,group,Zimbabwe,ZW,shared,field_partner,33,900,English,monthly,Services,funded,8,0.024
8662,Personal Housing Expenses,female,Nicaragua,NI,shared,field_partner,16,400,Spanish,monthly,Housing,funded,1 Year,0.161
8663,Higher education costs,male,Nicaragua,NI,shared,field_partner,16,400,Spanish,monthly,Education,funded,15,0.161
8664,Fuel/Firewood,female,Nigeria,NG,not shared,field_partner,21,875,English,monthly,Retail,funded,10,0.107
8665,Phone Accessories,female,Colombia,CO,shared,field_partner,56,1600,Spanish,monthly,Retail,funded,14,0.583
8666,Hardware,male,Kenya,KE,shared,field_partner,12,300,English,monthly,Retail,funded,11,0.223
8667,General Store,female,Philippines,PH,shared,field_partner,3,100,English,irregular,Retail,funded,13,0.055
8668,Clothing Sales,female,Bolivia,BO,not shared,field_partner,10,300,Spanish,irregular,Clothing,funded,9,0.077
8669,Taxi,male,Lebanon,LB,not shared,field_partner,30,800,English,monthly,Transportation,funded,14,0.003
8670,Clothing Sales,female,Nigeria,NG,not shared,field_partner,12,500,English,monthly,Clothing,funded,11,0.107
8671,Services,female,Bolivia,BO,shared,field_partner,35,1000,Spanish,monthly,Services,funded,21,0.077
8672,General Store,female,Philippines,PH,not shared,field_partner,9,225,English,irregular,Retail,funded,5,0.029
8673,Personal Housing Expenses,male,Nicaragua,NI,not shared,field_partner,24,725,Spanish,monthly,Housing,funded,14,0.161
8674,Fishing,female,Philippines,PH,shared,field_partner,11,425,English,irregular,Food,funded,1 Year,0.055
8675,Food,female,Philippines,PH,shared,field_partner,21,775,English,irregular,Food,funded,8,0.029
8676,Fishing,female,Cambodia,KH,not shared,field_partner,29,1000,English,monthly,Food,funded,14,0.16
8677,Farm Supplies,group,Cambodia,KH,shared,field_partner,18,1525,English,monthly,Agriculture,funded,14,0.16
8678,Food,female,Togo,TG,shared,field_partner,9,225,French,monthly,Food,funded,14,0.067
8679,Construction Supplies,female,Nicaragua,NI,not shared,field_partner,15,400,Spanish,monthly,Construction,funded,15,0.112
8680,General Store,male,Uganda,UG,shared,field_partner,12,600,English,monthly,Retail,not_funded,1 Year,0.013
8681,Retail,female,Peru,PE,shared,field_partner,27,950,Spanish,monthly,Retail,not_funded,8,0.062
8682,Fishing,female,Philippines,PH,shared,field_partner,1,425,English,irregular,Food,funded,8,0.055
8683,Clothing Sales,female,Jordan,JO,shared,field_partner,4,1150,English,monthly,Clothing,not_funded,18,0.005
8684,Fruits & Vegetables,female,Kenya,KE,shared,field_partner,12,350,English,irregular,Food,funded,13,0.075
8685,Farming,group,Mali,ML,shared,field_partner,15,1350,French,bullet,Agriculture,not_funded,10,0.168
8686,Personal Housing Expenses,male,El Salvador,SV,shared,field_partner,40,1500,Spanish,bullet,Housing,not_funded,14,0.077
8687,Plastics Sales,female,Liberia,LR,shared,field_partner,12,300,English,irregular,Retail,funded,11,0.036
8688,Retail,female,Nicaragua,NI,shared,field_partner,15,525,Spanish,monthly,Retail,funded,1 Year,0.077
8689,Food,female,Colombia,CO,shared,field_partner,6,225,Spanish,monthly,Food,funded,14,0.009
8690,Tailoring,female,Kenya,KE,shared,field_partner,12,350,English,monthly,Services,funded,14,0.075
8691,Construction Supplies,male,Tajikistan,TJ,not shared,field_partner,10,450,Russian,monthly,Construction,funded,14,0.021
8692,Tailoring,female,Jordan,JO,shared,field_partner,22,725,English,monthly,Services,funded,18,0.011
8693,Butcher Shop,male,Kenya,KE,shared,field_partner,11,275,English,irregular,Food,funded,8,0.223
8694,Higher education costs,female,Tajikistan,TJ,shared,field_partner,18,450,English,monthly,Education,funded,14,0.021
8695,Farming,female,Cambodia,KH,not shared,field_partner,22,1000,English,monthly,Agriculture,funded,20,0.12
8696,Food,group,Ghana,GH,shared,field_partner,24,1175,English,irregular,Food,funded,1 Year,0.058
8697,Liquor Store / Off-License,female,Togo,TG,shared,field_partner,1,75,French,irregular,Food,funded,8,0.067
8698,Food Market,group,Sierra Leone,SL,not shared,field_partner,25,800,English,monthly,Food,funded,10,0.319
8699,Agriculture,male,Tajikistan,TJ,shared,field_partner,9,1950,Russian,monthly,Agriculture,not_funded,14,0.033
8700,Farming,female,Philippines,PH,not shared,field_partner,4,100,English,bullet,Agriculture,funded,7,0.069
8701,General Store,female,Philippines,PH,shared,field_partner,9,250,English,irregular,Retail,funded,7,0.039
8702,Home Appliances,group,Cambodia,KH,shared,field_partner,7,175,English,monthly,Personal Use,funded,8,0.204
8703,Food Production/Sales,female,El Salvador,SV,shared,field_partner,1,400,Spanish,monthly,Food,funded,14,0.054
8704,General Store,female,Philippines,PH,shared,field_partner,24,625,English,irregular,Retail,funded,8,0.054
8705,Food Production/Sales,female,El Salvador,SV,shared,field_partner,25,700,Spanish,monthly,Food,funded,21,0.077
8706,Restaurant,male,Cambodia,KH,not shared,field_partner,34,1000,English,monthly,Food,funded,15,0.16
8707,Personal Housing Expenses,female,Vietnam,VN,shared,field_partner,26,900,English,monthly,Housing,funded,20,0.2
8708,Animal Sales,male,Tajikistan,TJ,not shared,field_partner,43,1125,English,monthly,Agriculture,funded,14,0.021
8709,Grocery Store,group,Dominican Republic,DO,not shared,field_partner,74,2550,English,irregular,Food,funded,8,0.103
8710,Bricks,male,Peru,PE,shared,field_partner,10,350,Spanish,monthly,Construction,funded,14,0.089
8711,Services,male,Tajikistan,TJ,not shared,field_partner,40,1025,Russian,monthly,Services,funded,14,0.086
8712,Transportation,male,Cambodia,KH,not shared,field_partner,22,975,English,monthly,Transportation,funded,14,0.696
8713,Farming,female,Philippines,PH,not shared,field_partner,8,325,English,bullet,Agriculture,funded,7,0.09
8714,Bakery,female,Benin,BJ,shared,field_partner,10,250,French,monthly,Food,funded,1 Year,0.083
8715,Transportation,female,Peru,PE,not shared,field_partner,28,725,Spanish,monthly,Transportation,funded,8,0.071
8716,Clothing Sales,female,Kenya,KE,shared,field_partner,2,700,English,monthly,Clothing,not_funded,14,0.075
8717,Farming,female,Philippines,PH,shared,field_partner,6,175,English,irregular,Agriculture,funded,8,0.055
8718,Services,female,Malawi,MW,shared,field_partner,35,925,English,bullet,Services,funded,25,0.183
8719,Clothing,female,Bolivia,BO,shared,field_partner,154,4925,Spanish,monthly,Clothing,funded,62,0.145
8720,Fruits & Vegetables,female,Timor-Leste,TL,not shared,field_partner,40,1000,English,monthly,Food,funded,15,0.044
8721,Home Appliances,male,Peru,PE,shared,field_partner,15,375,Spanish,monthly,Personal Use,funded,14,0.009
8722,Farming,female,Nigeria,NG,not shared,field_partner,6,150,English,bullet,Agriculture,funded,17,0.311
8723,Weaving,group,Guatemala,GT,shared,field_partner,24,700,Spanish,monthly,Arts,funded,14,0.082
8724,Retail,male,Colombia,CO,shared,field_partner,23,1875,Spanish,monthly,Retail,funded,14,0.009
8725,Tailoring,female,Nigeria,NG,shared,field_partner,10,350,English,monthly,Services,funded,10,0.107
8726,Farming,female,Philippines,PH,shared,field_partner,37,1075,English,irregular,Agriculture,funded,13,0.055
8727,Farming,male,Nigeria,NG,shared,field_partner,5,250,English,bullet,Agriculture,not_funded,19,0.311
8728,Tailoring,female,Cambodia,KH,shared,field_partner,11,300,English,monthly,Services,funded,20,0.274
8729,Services,female,Peru,PE,shared,field_partner,10,325,Spanish,monthly,Services,funded,8,0.071
8730,Food,female,Peru,PE,shared,field_partner,20,550,Spanish,monthly,Food,funded,14,0.038
8731,Higher education costs,male,Jordan,JO,shared,field_partner,26,725,English,monthly,Education,funded,18,0.478
8732,Electronics Sales,male,Kenya,KE,shared,field_partner,3,250,English,monthly,Retail,funded,8,0.223
8733,Home Products Sales,female,Nigeria,NG,not shared,field_partner,24,675,English,monthly,Retail,funded,10,0.605
8734,Clothing Sales,female,Jordan,JO,shared,field_partner,4,575,English,monthly,Clothing,not_funded,18,0.011
8735,General Store,female,Pakistan,PK,shared,field_partner,13,325,English,monthly,Retail,funded,14,0.184
8736,Home Products Sales,group,Sierra Leone,SL,shared,field_partner,28,775,English,monthly,Retail,funded,1 Year,0.423
8737,Bookstore,group,Guatemala,GT,shared,field_partner,43,1375,Spanish,monthly,Retail,funded,8,0.082
8738,Knitting,female,Peru,PE,shared,field_partner,10,650,Spanish,irregular,Arts,funded,6,0.062
8739,Used Clothing,group,The Democratic Republic of the Congo,CD,shared,field_partner,2,5750,French,irregular,Clothing,funded,6,0.034
8740,Pigs,male,Madagascar,MG,shared,field_partner,6,225,French,monthly,Agriculture,funded,8,0.357
8741,Transportation,female,Philippines,PH,shared,field_partner,5,350,English,irregular,Transportation,funded,8,0.055
8742,Grocery Store,female,Nepal,NP,shared,field_partner,12,350,English,monthly,Food,funded,14,0.094
8743,Food Stall,female,Kenya,KE,shared,field_partner,8,200,English,irregular,Food,funded,13,0.075
8744,Food,male,Colombia,CO,shared,field_partner,19,1000,Spanish,monthly,Food,not_funded,14,0.009
8745,Food Production/Sales,female,El Salvador,SV,shared,field_partner,18,500,Spanish,monthly,Food,funded,14,0.054
8746,Crafts,group,Ecuador,EC,not shared,field_partner,153,5600,Spanish,irregular,Arts,funded,7,0.054
8747,Farming,female,Zimbabwe,ZW,shared,field_partner,16,500,English,irregular,Agriculture,funded,8,0.168
8748,Agriculture,male,Honduras,HN,shared,field_partner,25,725,Spanish,bullet,Agriculture,funded,10,0.109
8749,Retail,female,Colombia,CO,shared,field_partner,11,475,Spanish,monthly,Retail,funded,15,0.009
8750,Clothing Sales,female,Uganda,UG,shared,field_partner,30,825,English,monthly,Clothing,funded,14,0.013
8751,Clothing Sales,female,Colombia,CO,not shared,field_partner,36,1050,Spanish,monthly,Clothing,funded,26,0.005
8752,Food Market,female,Philippines,PH,shared,field_partner,23,700,English,irregular,Food,funded,8,0.054
8753,General Store,female,Philippines,PH,shared,field_partner,2,100,English,irregular,Retail,funded,8,0.054
8754,Farming,group,Cambodia,KH,shared,field_partner,56,2300,English,monthly,Agriculture,funded,13,0.121
8755,Clothing Sales,female,El Salvador,SV,not shared,field_partner,19,500,Spanish,monthly,Clothing,funded,14,0.077
8756,Home Appliances,group,Cambodia,KH,shared,field_partner,4,125,English,monthly,Personal Use,funded,8,0.696
8757,Vehicle,female,Cambodia,KH,shared,field_partner,41,1050,English,monthly,Personal Use,funded,17,0.16
8758,Pigs,female,Philippines,PH,shared,field_partner,1,500,English,irregular,Agriculture,funded,7,0.091
8759,Beauty Salon,female,Pakistan,PK,shared,field_partner,14,500,English,monthly,Services,funded,14,0.039
8760,Personal Housing Expenses,female,Nicaragua,NI,not shared,field_partner,16,700,Spanish,monthly,Housing,funded,1 Year,0.161
8761,Fruits & Vegetables,female,Philippines,PH,shared,field_partner,5,275,English,irregular,Food,funded,8,0.039
8762,General Store,female,Philippines,PH,shared,field_partner,8,375,English,irregular,Retail,funded,11,0.055
8763,Shoe Sales,female,Rwanda,RW,shared,field_partner,28,850,English,monthly,Retail,funded,10,0.292
8764,Food Production/Sales,group,Nigeria,NG,shared,field_partner,70,1900,English,bullet,Food,funded,10,0.05
8765,Clothing,female,Sierra Leone,SL,shared,field_partner,7,275,English,irregular,Clothing,funded,11,0.319
8766,Retail,female,Kenya,KE,shared,field_partner,9,300,English,irregular,Retail,funded,13,0.075
8767,Cattle,male,El Salvador,SV,not shared,field_partner,29,850,Spanish,irregular,Agriculture,funded,16,0.077
8768,General Store,female,Philippines,PH,not shared,field_partner,4,125,English,irregular,Retail,funded,7,0.093
8769,Cattle,male,El Salvador,SV,shared,field_partner,12,500,Spanish,bullet,Agriculture,funded,14,0.054
8770,General Store,female,Pakistan,PK,shared,field_partner,6,225,English,monthly,Retail,funded,14,0.184
8771,Vehicle,female,Cambodia,KH,not shared,field_partner,19,500,English,monthly,Personal Use,funded,1 Year,0.121
8772,Home Products Sales,female,Jordan,JO,shared,field_partner,14,1150,English,monthly,Retail,not_funded,18,0.011
8773,Land Rental,male,El Salvador,SV,shared,field_partner,20,1050,Spanish,bullet,Agriculture,not_funded,14,0.054
8774,Pigs,female,Cambodia,KH,not shared,field_partner,19,500,English,monthly,Agriculture,funded,20,0.196
8775,Recycling,female,Philippines,PH,shared,field_partner,9,275,English,irregular,Services,funded,6,0.422
8776,Home Products Sales,male,Haiti,HT,shared,field_partner,15,400,English,monthly,Retail,funded,19,0.323
8777,Restaurant,female,Peru,PE,shared,field_partner,19,575,Spanish,irregular,Food,funded,6,0.062
8778,Personal Housing Expenses,female,Nicaragua,NI,shared,field_partner,8,775,Spanish,irregular,Housing,not_funded,14,0.112
8779,Food,female,Philippines,PH,shared,field_partner,1,175,English,irregular,Food,funded,7,0.055
8780,Clothing Sales,female,Kenya,KE,shared,field_partner,4,250,English,irregular,Clothing,funded,13,0.075
8781,Agriculture,male,Peru,PE,shared,field_partner,44,1100,Spanish,bullet,Agriculture,funded,5,0.009
8782,Beauty Salon,female,Colombia,CO,shared,field_partner,9,425,Spanish,monthly,Services,not_funded,14,0.009
8783,Pigs,female,Philippines,PH,shared,field_partner,1,175,English,irregular,Agriculture,funded,8,0.054
8784,Clothing,group,Burkina Faso,BF,shared,field_partner,1,475,French,monthly,Clothing,funded,8,0.554
8785,Barber Shop,male,El Salvador,SV,not shared,field_partner,18,500,Spanish,monthly,Services,funded,14,0.201
8786,Livestock,group,Mali,ML,shared,field_partner,27,2100,French,bullet,Agriculture,not_funded,10,0.594
8787,Personal Housing Expenses,male,Nicaragua,NI,shared,field_partner,26,800,Spanish,monthly,Housing,not_funded,27,0.161
8788,General Store,female,Philippines,PH,shared,field_partner,14,675,English,irregular,Retail,not_funded,10,0.055
8789,Food Production/Sales,male,Colombia,CO,shared,field_partner,6,1225,Spanish,monthly,Food,not_funded,15,0.009
8790,Cosmetics Sales,female,Philippines,PH,shared,field_partner,12,525,English,irregular,Retail,funded,7,0.039
8791,Primary/secondary school costs,male,Nigeria,NG,shared,field_partner,8,1150,English,bullet,Education,not_funded,15,0.311
8792,Sewing,female,Cameroon,CM,shared,field_partner,14,350,French,monthly,Services,funded,15,0.024
8793,Cattle,male,El Salvador,SV,shared,field_partner,8,1000,Spanish,bullet,Agriculture,not_funded,14,0.03
8794,Fish Selling,female,Philippines,PH,shared,field_partner,4,550,English,irregular,Food,funded,6,0.029
8795,Beverages,male,Ghana,GH,not shared,field_partner,17,450,English,irregular,Food,funded,10,0.058
8796,Pigs,female,Philippines,PH,shared,field_partner,9,225,English,irregular,Agriculture,funded,7,0.055
8797,Water Distribution,female,Philippines,PH,not shared,field_partner,10,300,English,irregular,Services,funded,8,0.422
8798,Animal Sales,group,Cambodia,KH,shared,field_partner,41,1125,English,monthly,Agriculture,funded,1 Year,0.121
8799,Crafts,female,Peru,PE,not shared,field_partner,26,700,English,monthly,Arts,funded,8,0
8800,Beauty Salon,female,Jordan,JO,shared,field_partner,10,1425,English,monthly,Services,not_funded,15,0.005
8801,General Store,female,Philippines,PH,not shared,field_partner,7,175,English,irregular,Retail,funded,7,0.093
8802,Farming,group,Cambodia,KH,shared,field_partner,29,1250,English,monthly,Agriculture,funded,26,0.696
8803,Farming,female,Philippines,PH,shared,field_partner,6,150,English,irregular,Agriculture,funded,7,0.055
8804,Personal Housing Expenses,male,Mongolia,MN,shared,field_partner,38,2550,English,monthly,Housing,not_funded,26,0.006
8805,General Store,female,Pakistan,PK,shared,field_partner,9,250,English,irregular,Retail,funded,1 Year,0.039
8806,Recycling,female,Colombia,CO,not shared,field_partner,29,1050,Spanish,monthly,Services,funded,27,0.005
8807,Retail,male,Kenya,KE,shared,field_partner,8,825,English,monthly,Retail,not_funded,14,0.02
8808,Agriculture,female,Ecuador,EC,not shared,field_partner,11,275,Spanish,monthly,Agriculture,funded,8,0.014
8809,Grocery Store,female,Nigeria,NG,shared,field_partner,19,550,English,monthly,Food,funded,10,0.107
8810,Farming,group,Cambodia,KH,shared,field_partner,44,1200,English,monthly,Agriculture,funded,13,0.274
8811,Dairy,male,El Salvador,SV,shared,field_partner,11,1500,Spanish,bullet,Agriculture,not_funded,14,0.054
8812,Services,female,Kenya,KE,shared,field_partner,29,950,English,monthly,Services,funded,14,0.02
8813,Fuel/Firewood,female,Peru,PE,not shared,field_partner,20,650,Spanish,irregular,Retail,funded,6,0.071
8814,Beauty Salon,female,Pakistan,PK,shared,field_partner,9,525,English,monthly,Services,funded,14,0.039
8815,Sewing,female,Peru,PE,shared,field_partner,17,575,Spanish,monthly,Services,funded,14,0.038
8816,Sewing,female,Tajikistan,TJ,shared,field_partner,27,700,English,monthly,Services,funded,20,0.021
8817,Quarrying,male,Kenya,KE,shared,field_partner,6,200,English,monthly,Construction,funded,8,0.075
8818,Food Production/Sales,group,Ghana,GH,shared,field_partner,29,1250,English,irregular,Food,funded,8,0.058
8819,Grocery Store,female,Tajikistan,TJ,shared,field_partner,72,2100,Russian,monthly,Food,funded,27,0.086
8820,Food Production/Sales,female,Philippines,PH,shared,field_partner,5,125,English,irregular,Food,funded,8,0.027
8821,Plastics Sales,female,Peru,PE,shared,field_partner,23,725,Spanish,monthly,Retail,funded,14,0.038
8822,Personal Housing Expenses,female,Philippines,PH,shared,field_partner,6,175,English,irregular,Housing,funded,60,0.055
8823,General Store,female,Philippines,PH,shared,field_partner,14,350,English,irregular,Retail,funded,11,0.497
8824,Metal Shop,male,Peru,PE,shared,field_partner,15,650,Spanish,monthly,Manufacturing,funded,14,0.089
8825,Transportation,female,Philippines,PH,shared,field_partner,22,575,English,irregular,Transportation,funded,7,0.029
8826,Grocery Store,group,Malawi,MW,shared,field_partner,65,2050,English,irregular,Food,funded,6,0.314
8827,Clothing,female,Jordan,JO,shared,field_partner,12,725,English,monthly,Clothing,not_funded,17,0.005
8828,Retail,female,Togo,TG,shared,field_partner,12,325,French,monthly,Retail,funded,14,0.067
8829,Personal Housing Expenses,female,Mongolia,MN,shared,field_partner,62,1800,English,monthly,Housing,funded,14,0.006
8830,Charcoal Sales,male,Uganda,UG,shared,field_partner,23,1150,English,monthly,Retail,funded,14,0.013
8831,Manufacturing,male,Nicaragua,NI,shared,field_partner,37,1000,Spanish,monthly,Manufacturing,funded,15,0.161
8832,Pigs,female,Philippines,PH,shared,field_partner,1,425,English,irregular,Agriculture,funded,7,0.055
8833,Food Stall,female,Philippines,PH,shared,field_partner,9,325,English,irregular,Food,funded,8,0.422
8834,Construction,male,Bolivia,BO,not shared,field_partner,30,1000,Spanish,monthly,Construction,funded,14,0.077
8835,Clothing Sales,female,Peru,PE,not shared,field_partner,7,175,Spanish,monthly,Clothing,funded,8,0.069
8836,Services,female,Colombia,CO,shared,field_partner,17,1000,Spanish,monthly,Services,funded,14,0.583
8837,Home Appliances,group,Cambodia,KH,shared,field_partner,4,100,English,monthly,Personal Use,funded,8,0.196
8838,Clothing Sales,female,Uganda,UG,not shared,field_partner,6,150,English,irregular,Clothing,funded,11,0.371
8839,Fruits & Vegetables,female,Philippines,PH,shared,field_partner,32,1300,English,irregular,Food,funded,8,0.039
8840,Clothing Sales,group,Peru,PE,shared,field_partner,5,6225,Spanish,irregular,Clothing,funded,6,0.062
8841,Grocery Store,female,Jordan,JO,shared,field_partner,12,2200,English,monthly,Food,not_funded,23,0.005
8842,Plastics Sales,female,Peru,PE,not shared,field_partner,35,1025,Spanish,monthly,Retail,funded,7,0.069
8843,Milk Sales,female,Pakistan,PK,shared,field_partner,10,400,English,monthly,Food,funded,14,0.039
8844,Transportation,male,Bolivia,BO,shared,field_partner,8,1175,Spanish,monthly,Transportation,not_funded,20,0.077
8845,Livestock,male,Tajikistan,TJ,shared,field_partner,7,700,English,monthly,Agriculture,not_funded,15,0.086
8846,General Store,female,Togo,TG,shared,field_partner,5,200,French,irregular,Retail,funded,9,0.067
8847,Clothing Sales,female,Nicaragua,NI,not shared,field_partner,19,575,Spanish,monthly,Clothing,funded,10,0.161
8848,Higher education costs,female,Nicaragua,NI,not shared,field_partner,42,1050,Spanish,monthly,Education,funded,20,0.082
8849,Home Products Sales,female,Sierra Leone,SL,shared,field_partner,7,175,English,irregular,Retail,funded,7,0.319
8850,Higher education costs,female,Peru,PE,shared,field_partner,37,925,Spanish,monthly,Education,funded,14,0
8851,Mobile Phones,male,Sierra Leone,SL,shared,field_partner,39,1050,English,monthly,Retail,funded,8,0.537
8852,Cattle,female,Cambodia,KH,not shared,field_partner,40,1200,English,monthly,Agriculture,funded,20,0.121
8853,Fishing,male,El Salvador,SV,shared,field_partner,4,1200,Spanish,monthly,Food,not_funded,26,0.054
8854,Vehicle,female,Cambodia,KH,shared,field_partner,19,500,English,monthly,Personal Use,funded,26,0.204
8855,Crafts,female,Peru,PE,shared,field_partner,27,775,Spanish,monthly,Arts,funded,8,0.062
8856,General Store,female,Philippines,PH,shared,field_partner,22,1025,English,monthly,Retail,funded,14,0.497
8857,Home Appliances,group,Cambodia,KH,shared,field_partner,2,100,English,monthly,Personal Use,funded,8,0.12
8858,Beverages,female,Kenya,KE,shared,field_partner,8,250,English,monthly,Food,funded,8,0.223
8859,Land Rental,group,Cambodia,KH,shared,field_partner,41,1125,English,monthly,Agriculture,funded,13,0.274
8860,Primary/secondary school costs,group,Lebanon,LB,not shared,field_partner,84,2700,English,monthly,Education,funded,15,0.003
8861,Personal Products Sales,female,Philippines,PH,shared,field_partner,9,1125,English,monthly,Retail,not_funded,14,0.039
8862,Farming,male,Philippines,PH,shared,field_partner,29,1000,English,bullet,Agriculture,funded,8,0.039
8863,Pigs,female,Kenya,KE,shared,field_partner,9,250,English,monthly,Agriculture,funded,14,0.02
8864,Agriculture,female,Cambodia,KH,not shared,field_partner,5,125,English,monthly,Agriculture,funded,14,0.121
8865,Home Energy,male,Honduras,HN,shared,field_partner,27,700,English,monthly,Personal Use,funded,8,0.077
8866,Home Products Sales,female,Indonesia,ID,not shared,field_partner,6,175,Indonesian,monthly,Retail,funded,15,0.042
8867,General Store,female,Philippines,PH,shared,field_partner,12,350,English,irregular,Retail,funded,8,0.055
8868,Retail,female,Ecuador,EC,shared,field_partner,1,1100,Spanish,monthly,Retail,not_funded,14,0.003
8869,Grocery Store,female,Nicaragua,NI,not shared,field_partner,27,700,Spanish,irregular,Food,funded,10,0.161
8870,Food Production/Sales,female,Togo,TG,shared,field_partner,4,100,French,irregular,Food,funded,6,0.067
8871,Food Production/Sales,female,Honduras,HN,shared,field_partner,11,275,Spanish,monthly,Food,funded,8,0.112
8872,Home Energy,male,Nicaragua,NI,shared,field_partner,9,300,Spanish,irregular,Personal Use,funded,26,0.108
8873,Grocery Store,male,Peru,PE,shared,field_partner,19,1150,Spanish,monthly,Food,not_funded,14,0.009
8874,Home Products Sales,female,Sierra Leone,SL,shared,field_partner,4,125,English,irregular,Retail,funded,11,0.319
8875,Food Market,female,Sierra Leone,SL,shared,field_partner,7,275,English,irregular,Food,funded,11,0.449
8876,Animal Sales,female,Tajikistan,TJ,not shared,field_partner,30,1150,English,monthly,Agriculture,funded,14,0.086
8877,Beauty Salon,female,Colombia,CO,shared,field_partner,5,550,Spanish,monthly,Services,not_funded,14,0.005
8878,Crafts,group,Peru,PE,shared,field_partner,1,2200,Spanish,irregular,Arts,funded,6,0
8879,Motorcycle Transport,male,Cambodia,KH,shared,field_partner,27,750,English,monthly,Transportation,funded,20,0.204
8880,Farming,group,Cambodia,KH,shared,field_partner,35,1500,English,monthly,Agriculture,funded,14,0.16
8881,Clothing,group,Peru,PE,shared,field_partner,23,950,Spanish,irregular,Clothing,funded,6,0
8882,Cattle,female,Kenya,KE,not shared,field_partner,1,225,English,monthly,Agriculture,funded,13,0.02
8883,Cosmetics Sales,group,Ghana,GH,shared,field_partner,61,1850,English,irregular,Retail,funded,8,0.058
8884,General Store,female,Philippines,PH,shared,field_partner,7,250,English,irregular,Retail,funded,7,0.039
8885,Fishing,female,Philippines,PH,shared,field_partner,17,425,English,irregular,Food,funded,8,0.091
8886,Home Energy,male,Yemen,YE,shared,field_partner,17,425,English,monthly,Personal Use,funded,8,0.057
8887,Cosmetics Sales,male,Bolivia,BO,shared,field_partner,6,1025,English,monthly,Retail,not_funded,20,0.077
8888,Personal Products Sales,female,Colombia,CO,shared,field_partner,20,600,Spanish,monthly,Retail,funded,14,0.009
8889,Home Appliances,group,Cambodia,KH,shared,field_partner,7,200,English,monthly,Personal Use,funded,8,0.353
8890,Animal Sales,male,Tajikistan,TJ,shared,field_partner,22,650,Russian,monthly,Agriculture,funded,14,0.086
8891,Spare Parts,female,Uganda,UG,shared,field_partner,18,750,English,irregular,Retail,funded,7,0.013
8892,Retail,female,Haiti,HT,shared,field_partner,10,300,French,monthly,Retail,funded,7,0.323
8893,Pigs,female,Philippines,PH,not shared,field_partner,15,425,English,irregular,Agriculture,funded,7,0.055
8894,Cosmetics Sales,female,Nigeria,NG,shared,field_partner,20,550,English,monthly,Retail,funded,10,0.107
8895,Agriculture,male,El Salvador,SV,shared,field_partner,8,500,Spanish,monthly,Agriculture,funded,14,0.054
8896,Retail,female,Nicaragua,NI,shared,field_partner,20,700,Spanish,monthly,Retail,funded,15,0.077
8897,Used Shoes,group,The Democratic Republic of the Congo,CD,shared,field_partner,6,6200,French,irregular,Clothing,funded,6,0.164
8898,Embroidery,female,Pakistan,PK,shared,field_partner,10,275,English,monthly,Arts,funded,14,0.184
8899,Cosmetics Sales,group,Nicaragua,NI,not shared,field_partner,26,775,Spanish,monthly,Retail,funded,8,0.161
8900,Farming,male,Nigeria,NG,shared,field_partner,9,225,English,bullet,Agriculture,funded,22,0.311
8901,Dairy,female,India,IN,shared,field_partner,7,200,English,bullet,Agriculture,funded,43,0.121
8902,Grocery Store,female,Peru,PE,shared,field_partner,9,575,Spanish,monthly,Food,funded,14,0.009
8903,Farming,group,Cambodia,KH,shared,field_partner,48,2475,English,monthly,Agriculture,funded,14,0.12
8904,Crafts,male,Nigeria,NG,shared,field_partner,33,1000,English,monthly,Arts,funded,10,0.605
8905,Clothing Sales,female,Sierra Leone,SL,shared,field_partner,43,1175,English,monthly,Clothing,funded,10,0.537
8906,Livestock,male,Nicaragua,NI,not shared,field_partner,10,275,Spanish,bullet,Agriculture,funded,14,0.108
8907,Retail,group,Burundi,BI,shared,field_partner,126,4600,French,irregular,Retail,funded,7,0.164
